time, A, V, D
1243014,0.34448004,-265.79764,-719428.2
1243032,0.40316802,-259.06882,-724152.0
1243049,0.4063808,-252.18765,-728497.7
1243063,0.3803085,-246.68083,-731989.75
1243082,0.3286651,-239.94559,-736612.7
1243098,0.2776791,-235.09483,-740413.0
1243115,0.20308746,-231.00832,-744374.9
1243132,0.0,-229.28207,-748287.3
1243147,-0.13999999,-229.28207,-751497.25
1243164,-0.18351999,-232.032,-755649.06
1243183,-0.32,-235.5438,-759623.44
1243198,-0.34352,-240.52019,-763670.0
1243215,-0.397632,-246.81998,-767812.4
1243231,-0.53,-253.17796,-771562.4
1243249,-0.52551997,-262.67764,-776463.0
1243265,-0.49,-270.4803,-780461.7
1243281,-0.45999998,-277.7667,-784847.7
1243297,-0.39999998,-284.5431,-789346.2
1243315,-0.26752,-290.55078,-794809.56
1243331,0.0,-292.69095,-799475.5
1243348,0.19248001,-291.05487,-804437.3
1243364,0.359968,-286.63528,-809058.8
1243382,0.4444608,-279.39542,-814153.06
1243398,0.4231565,-272.45447,-818567.9
1243413,0.3703739,-266.503,-822610.06
1243432,0.33070433,-259.84274,-827610.4
1243448,0.2629026,-255.09389,-831729.9
1243465,0.16222155,-251.48033,-836035.75
1243482,0.0,-250.10146,-840299.2
1243499,0.0,-250.10146,-844550.94
1243514,-0.12752001,-251.05786,-848309.6
1243531,-0.240032,-254.18205,-852604.2
1243547,-0.45,-258.40884,-856448.6
1243565,-0.52,-266.32675,-861171.25
1243581,-0.52352,-274.67493,-865769.75
1243596,-0.517632,-282.48358,-869948.44
1243614,-0.48209924,-291.48117,-875114.1
1243632,-0.35000002,-299.29163,-880135.7
1243649,-0.30552003,-304.86356,-885573.06
1243664,-0.21883202,-308.7962,-890175.5
1243681,0.0,-310.65628,-895440.9
1243697,0.19248001,-309.11646,-900399.06
1243714,0.379968,-304.25064,-905612.7
1243732,0.4604608,-296.68677,-911021.1
1243746,0.45275652,-290.29425,-915130.0
